"小泉花陽" "星空凛" "西木野真姫" "高坂穂乃果" "南ことり" "園田海未" "絢瀬絵里" "矢澤にこ" "東條希"
"小泉花陽" 0 3168 293 28 233 22 60 136 29
"星空凛" 3168 0 2044 184 93 192 170 433 218
"西木野真姫" 293 2044 0 486 110 553 427 7422 178
"高坂穂乃果" 28 184 486 0 1531 1386 907 201 82
"南ことり" 233 93 110 1531 0 1705 122 244 41
"園田海未" 22 192 553 1386 1705 0 1476 94 61
"絢瀬絵里" 60 170 427 907 122 1476 0 327 4114
"矢澤にこ" 136 433 7422 201 244 94 327 0 1232
"東條希" 29 218 178 82 41 61 4114 1232 0
